Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds?,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Cooper Kupp*+\KuppCo00,LAR,28,WR,17,17,191,145,0.759,1947,13.4,16,89,59,10.2,8.5,114.5,0
2,Justin Jefferson*\JeffJu00,MIN,22,WR,17,17,167,108,0.647,1616,15,10,75,56,9.7,6.4,95.1,1
3,Davante Adams*+\AdamDa01,GNB,29,WR,16,16,169,123,0.728,1553,12.6,11,84,59,9.2,7.7,97.1,0
4,Ja'Marr Chase*\ChasJa00,CIN,21,WR,17,17,128,81,0.633,1455,18,13,56,82,11.4,4.8,85.6,2
5,Deebo Samuel*+\SamuDe00,SFO,25,WR,16,15,121,77,0.636,1405,18.2,6,51,83,11.6,4.8,87.8,4
6,Mark Andrews*+\AndrMa00,BAL,26,te,17,9,153,107,0.699,1361,12.7,9,75,43,8.9,6.3,80.1,1
7,Tyreek Hill*\HillTy00,KAN,27,WR,17,16,159,111,0.698,1239,11.2,9,75,75,7.8,6.5,72.9,2
8,Stefon Diggs*\DiggSt00,BUF,28,WR,17,17,164,103,0.628,1225,11.9,10,66,61,7.5,6.1,72.1,1
9,Tyler Lockett\LockTy00,SEA,29,WR,16,16,107,73,0.682,1175,16.1,8,41,69,11,4.6,73.4,0
10,Diontae Johnson*\JohnDi01,PIT,25,WR,16,14,169,107,0.633,1161,10.9,8,59,50,6.9,6.7,72.6,2
11,D.J. Moore\MoorD.00,CAR,24,WR,17,17,163,93,0.571,1157,12.4,4,60,64,7.1,5.5,68.1,1
12,Mike Williams\WillMi07,LAC,27,WR,16,14,129,76,0.589,1146,15.1,9,51,72,8.9,4.8,71.6,0
13,Keenan Allen*\AlleKe00,LAC,29,WR,16,16,157,106,0.675,1138,10.7,6,66,42,7.2,6.6,71.1,1
14,Travis Kelce*\KelcTr00,KAN,32,TE,16,16,134,92,0.687,1125,12.2,9,63,69,8.4,5.8,70.3,1
